fecha_corte,fecha_mes,producto_id,almacen_id,stock_unidades,stock_valorizado,stock_seguridad,stock_maximo,sobrestock_unidades,sobrestock_valorizado,estado_stock
2023-01-31,2023-01-01,PROD001,ALM01,4640.07,103937.57,1501.42,7775.21,0,0.0,Normal
2023-01-31,2023-01-01,PROD001,ALM02,7731.86,173193.66,2501.85,12956.02,0,0.0,Normal
2023-01-31,2023-01-01,PROD001,ALM03,7736.14,173289.54,2503.24,12963.2,0,0.0,Normal
2023-01-31,2023-01-01,PROD001,ALM04,7590.41,170025.18,2456.08,12719.01,0,0.0,Normal
2023-01-31,2023-01-01,PROD001,ALM05,5111.57,114499.17,1653.99,8565.29,0,0.0,Normal
2023-01-31,2023-01-01,PROD002,ALM01,7086.44,148815.24,1713.3,8872.45,0,0.0,Normal
2023-01-31,2023-01-01,PROD002,ALM02,6686.3,140412.3,1616.56,8371.46,0,0.0,Normal
2023-01-31,2023-01-01,PROD002,ALM03,8646.41,181574.61,2090.46,10825.58,0,0.0,Normal
2023-01-31,2023-01-01,PROD002,ALM04,10754.01,225834.21,2600.02,13464.37,0,0.0,Normal
2023-01-31,2023-01-01,PROD002,ALM05,8618.5,180988.5,2083.71,10790.64,0,0.0,Normal
2023-01-31,2023-01-01,PROD003,ALM01,3388.44,87082.91,1504.56,7791.49,0,0.0,Normal
2023-01-31,2023-01-01,PROD003,ALM02,2395.83,61572.83,1063.82,5509.07,0,0.0,Normal
2023-01-31,2023-01-01,PROD003,ALM03,1585.46,40746.32,703.99,3645.65,0,0.0,Normal
2023-01-31,2023-01-01,PROD003,ALM04,1929.87,49597.66,856.92,4437.62,0,0.0,Normal
2023-01-31,2023-01-01,PROD003,ALM05,3170.93,81492.9,1407.99,7291.35,0,0.0,Normal
2023-01-31,2023-01-01,PROD004,ALM01,1670.46,42429.68,894.12,4630.27,0,0.0,Normal
2023-01-31,2023-01-01,PROD004,ALM02,1577.85,40077.39,844.55,4373.59,0,0.0,Normal
2023-01-31,2023-01-01,PROD004,ALM03,1426.47,36232.34,763.53,3953.98,0,0.0,Normal
2023-01-31,2023-01-01,PROD004,ALM04,1640.52,41669.21,878.1,4547.31,0,0.0,Normal
2023-01-31,2023-01-01,PROD004,ALM05,1749.57,44439.08,936.47,4849.55,0,0.0,Normal
2023-01-31,2023-01-01,PROD005,ALM01,1859.53,50393.26,658.79,3411.61,0,0.0,Normal
2023-01-31,2023-01-01,PROD005,ALM02,2686.6,72806.86,951.81,4928.99,0,0.0,Normal
2023-01-31,2023-01-01,PROD005,ALM03,1699.7,46061.87,602.17,3118.37,0,0.0,Normal
2023-01-31,2023-01-01,PROD005,ALM04,2378.44,64455.72,842.63,4363.63,0,0.0,Normal
2023-01-31,2023-01-01,PROD005,ALM05,1634.53,44295.76,579.08,2998.81,0,0.0,Normal
2023-01-31,2023-01-01,PROD006,ALM01,1707.64,33298.98,545.39,2824.34,0,0.0,Normal
2023-01-31,2023-01-01,PROD006,ALM02,1606.93,31335.14,513.23,2657.78,0,0.0,Normal
2023-01-31,2023-01-01,PROD006,ALM03,3084.26,60143.07,985.06,5101.2,0,0.0,Normal
2023-01-31,2023-01-01,PROD006,ALM04,1997.89,38958.86,638.09,3304.4,0,0.0,Normal
2023-01-31,2023-01-01,PROD006,ALM05,1882.15,36701.93,601.13,3112.97,0,0.0,Normal
2023-01-31,2023-01-01,PROD007,ALM01,1509.15,37426.92,561.61,2908.35,0,0.0,Normal
2023-01-31,2023-01-01,PROD007,ALM02,1732.2,42958.56,644.62,3338.2,0,0.0,Normal
2023-01-31,2023-01-01,PROD007,ALM03,916.19,22721.51,340.95,1765.62,0,0.0,Normal
2023-01-31,2023-01-01,PROD007,ALM04,1022.62,25360.98,380.55,1970.73,0,0.0,Normal
2023-01-31,2023-01-01,PROD007,ALM05,1563.0,38762.4,581.65,3012.13,0,0.0,Normal
2023-01-31,2023-01-01,PROD008,ALM01,6852.91,145281.69,1302.27,6743.92,108.99,2310.59,Sobrestock
2023-01-31,2023-01-01,PROD008,ALM02,3425.72,72625.26,651.0,3371.23,54.49,1155.19,Sobrestock
2023-01-31,2023-01-01,PROD008,ALM03,3994.63,84686.16,759.11,3931.11,63.52,1346.62,Sobrestock
2023-01-31,2023-01-01,PROD008,ALM04,6050.51,128270.81,1149.79,5954.29,96.22,2039.86,Sobrestock
2023-01-31,2023-01-01,PROD008,ALM05,3380.83,71673.6,642.47,3327.06,53.77,1139.92,Sobrestock
