fecha_mes,planta_id,producto_id,produccion_real,capacidad_instalada,utilizacion_capacidad_pct,costo_produccion,merma
2023-01-01,PLA01,PROD001,17508.67,3280.5,1.35,383337.68,325.58
2023-01-01,PLA02,PROD001,9719.35,2138.4,1.35,220200.21,184.62
2023-01-01,PLA03,PROD001,9947.34,1846.8,1.35,224072.06,248.97
2023-01-01,PLA01,PROD002,20839.28,3645.0,1.35,466673.45,572.95
2023-01-01,PLA02,PROD002,11937.02,2376.0,1.35,249151.1,217.96
2023-01-01,PLA03,PROD002,10804.21,2052.0,1.35,238482.17,252.64
2023-01-01,PLA01,PROD003,9811.68,2551.5,1.35,260769.85,249.82
2023-01-01,PLA02,PROD003,6821.87,1663.2,1.35,186276.98,169.87
2023-01-01,PLA03,PROD003,5429.23,1436.4,1.35,138963.7,64.48
2023-01-01,PLA01,PROD004,6199.87,2138.4,1.35,153472.62,89.54
2023-01-01,PLA02,PROD004,4604.57,1393.92,1.35,111992.44,39.86
2023-01-01,PLA03,PROD004,3503.18,1203.84,1.35,85436.03,23.09
2023-01-01,PLA01,PROD005,6337.72,1701.0,1.35,176496.96,84.34
2023-01-01,PLA02,PROD005,4243.72,1108.8,1.35,123469.27,107.55
2023-01-01,PLA03,PROD005,4397.42,957.6,1.35,127170.28,91.23
2023-01-01,PLA01,PROD006,6464.93,2235.6,1.35,128411.65,54.82
2023-01-01,PLA02,PROD006,3790.02,1457.28,1.35,71343.53,105.49
2023-01-01,PLA03,PROD006,3509.27,1258.56,1.35,72547.7,66.6
2023-01-01,PLA01,PROD007,4268.08,1215.0,1.35,103624.64,101.4
2023-01-01,PLA02,PROD007,2967.24,792.0,1.35,71206.33,80.42
2023-01-01,PLA03,PROD007,2137.18,684.0,1.35,50726.35,21.19
2023-01-01,PLA01,PROD008,8437.43,1749.6,1.35,178034.7,60.87
2023-01-01,PLA02,PROD008,6218.17,1140.48,1.35,126148.48,134.94
2023-01-01,PLA03,PROD008,4677.86,984.96,1.35,95896.09,48.48
2023-01-01,PLA01,PROD009,1851.93,3013.2,0.6146,483069.43,47.72
2023-01-01,PLA02,PROD009,1095.55,1964.16,0.5578,271517.19,28.42
2023-01-01,PLA03,PROD009,1034.28,1696.32,0.6097,261713.56,9.82
2023-01-01,PLA01,PROD010,2433.58,3159.0,0.7704,565361.89,23.63
2023-01-01,PLA02,PROD010,1604.38,2059.2,0.7791,374958.15,42.93
2023-01-01,PLA03,PROD010,1107.0,1778.4,0.6225,259258.5,25.95
2023-01-01,PLA01,PROD011,1248.23,1846.8,0.6759,355221.16,7.56
2023-01-01,PLA02,PROD011,802.03,1203.84,0.6662,230375.94,19.58
2023-01-01,PLA03,PROD011,820.64,1039.68,0.7893,248999.35,6.55
2023-01-01,PLA01,PROD012,624.02,1166.4,0.535,186899.52,10.6
2023-01-01,PLA02,PROD012,412.18,760.32,0.5421,127196.14,11.03
2023-01-01,PLA03,PROD012,337.39,656.64,0.5138,109158.46,2.54
2023-01-01,PLA01,PROD013,764.23,1992.6,0.3835,143428.58,4.74
2023-01-01,PLA02,PROD013,497.66,1298.88,0.3831,89781.79,12.78
2023-01-01,PLA03,PROD013,443.14,1121.76,0.395,76479.16,3.33
2023-01-01,PLA01,PROD014,1046.26,2794.5,0.3744,207591.5,21.79
2023-01-01,PLA02,PROD014,682.73,1821.6,0.3748,141775.24,13.69
2023-01-01,PLA03,PROD014,609.29,1573.2,0.3873,124908.78,12.71
2023-01-01,PLA01,PROD015,760.79,2551.5,0.2982,173060.36,13.71
2023-01-01,PLA02,PROD015,519.41,1663.2,0.3123,114942.84,3.59
2023-01-01,PLA03,PROD015,493.58,1436.4,0.3436,111356.12,10.94
2023-01-01,PLA01,PROD016,596.75,1749.6,0.3411,168197.69,16.44
2023-01-01,PLA02,PROD016,388.27,1140.48,0.3404,105389.16,4.77
2023-01-01,PLA03,PROD016,348.76,984.96,0.3541,90933.87,4.31
2023-01-01,PLA01,PROD017,420.61,1458.0,0.2885,114503.96,11.25
2023-01-01,PLA02,PROD017,349.17,950.4,0.3674,95342.03,6.69
2023-01-01,PLA03,PROD017,275.53,820.8,0.3357,81249.51,3.1
2023-01-01,PLA01,PROD018,150.88,729.0,0.207,53113.34,4.11
2023-01-01,PLA02,PROD018,81.31,475.2,0.1711,29725.47,0.77
2023-01-01,PLA03,PROD018,82.35,410.4,0.2007,31329.42,0.67
2023-01-01,PLA01,PROD019,1235.66,1895.4,0.6519,37760.9,24.04
2023-01-01,PLA02,PROD019,936.15,1235.52,0.7577,27865.14,13.25
2023-01-01,PLA03,PROD019,668.59,1067.04,0.6266,20377.47,3.7
2023-01-01,PLA01,PROD020,957.77,1603.8,0.5972,26961.04,9.78
2023-01-01,PLA02,PROD020,675.96,1045.44,0.6466,18605.23,9.47
2023-01-01,PLA03,PROD020,708.46,902.88,0.7847,19931.96,19.21
2023-01-01,PLA01,PROD021,1437.77,1798.2,0.7996,59251.21,35.78
2023-01-01,PLA02,PROD021,821.45,1172.16,0.7008,35652.74,18.16
2023-01-01,PLA03,PROD021,735.06,1012.32,0.7261,32427.69,15.66
2023-01-01,PLA01,PROD022,1415.56,1701.0,0.8322,56013.32,16.42
2023-01-01,PLA02,PROD022,958.72,1108.8,0.8646,36877.69,14.88
2023-01-01,PLA03,PROD022,725.28,957.6,0.7574,29138.19,13.72
2023-01-01,PLA01,PROD023,702.2,1263.6,0.5557,24200.62,18.21
2023-01-01,PLA02,PROD023,401.74,823.68,0.4877,13395.57,2.85
2023-01-01,PLA03,PROD023,371.08,711.36,0.5216,12492.26,10.28
2023-01-01,PLA01,PROD024,334.94,923.4,0.3627,10862.49,2.73
2023-01-01,PLA02,PROD024,240.66,601.92,0.3998,8453.08,2.49
2023-01-01,PLA03,PROD024,238.8,519.84,0.4594,8416.83,3.35
2023-01-01,PLA01,PROD032,371.24,194.4,1.35,13504.94,7.4
2023-01-01,PLA02,PROD032,238.83,126.72,1.35,8528.37,3.13
2023-01-01,PLA03,PROD032,233.51,109.44,1.35,8341.88,4.97
2023-02-01,PLA01,PROD001,14370.79,3280.5,1.35,319733.72,335.91
2023-02-01,PLA02,PROD001,7672.87,2138.4,1.35,169416.65,63.22
2023-02-01,PLA03,PROD001,7328.17,1846.8,1.35,161425.18,138.81
2023-02-01,PLA01,PROD002,15326.46,3645.0,1.35,314703.43,153.77
2023-02-01,PLA02,PROD002,8817.56,2376.0,1.35,178547.98,199.11
2023-02-01,PLA03,PROD002,7386.28,2052.0,1.35,157807.57,164.84
2023-02-01,PLA01,PROD003,15499.76,2551.5,1.35,416476.8,62.11
2023-02-01,PLA02,PROD003,9770.31,1663.2,1.35,247173.23,247.63
2023-02-01,PLA03,PROD003,8553.59,1436.4,1.35,211181.16,134.94
2023-02-01,PLA01,PROD004,11249.57,2138.4,1.35,299155.85,121.16
2023-02-01,PLA02,PROD004,6976.12,1393.92,1.35,177110.56,37.77
2023-02-01,PLA03,PROD004,6664.08,1203.84,1.35,162436.75,156.78
2023-02-01,PLA01,PROD005,8274.74,1701.0,1.35,215162.81,33.98
2023-02-01,PLA02,PROD005,4597.76,1108.8,1.35,119848.91,101.75
2023-02-01,PLA03,PROD005,4985.89,957.6,1.35,142325.76,122.82
2023-02-01,PLA01,PROD006,10317.15,2235.6,1.35,195969.99,159.26
2023-02-01,PLA02,PROD006,6312.3,1457.28,1.35,120779.57,145.32
2023-02-01,PLA03,PROD006,6403.39,1258.56,1.35,124019.35,153.65
2023-02-01,PLA01,PROD007,6461.23,1215.0,1.35,155436.22,102.16
2023-02-01,PLA02,PROD007,4084.37,792.0,1.35,100055.35,74.71
2023-02-01,PLA03,PROD007,3352.16,684.0,1.35,84268.88,67.07
2023-02-01,PLA01,PROD008,5190.83,1749.6,1.35,106827.69,85.49
2023-02-01,PLA02,PROD008,3131.89,1140.48,1.35,68120.2,35.35
2023-02-01,PLA03,PROD008,2991.23,984.96,1.35,61160.41,50.07
2023-02-01,PLA01,PROD009,1338.77,3013.2,0.4443,325523.49,32.85
2023-02-01,PLA02,PROD009,994.58,1964.16,0.5064,242605.69,18.63
2023-02-01,PLA03,PROD009,746.12,1696.32,0.4398,175254.74,16.98
2023-02-01,PLA01,PROD010,2931.78,3159.0,0.9281,730723.24,45.23
2023-02-01,PLA02,PROD010,2414.0,2059.2,1.1723,550510.2,66.92
2023-02-01,PLA03,PROD010,2094.24,1778.4,1.1776,513222.44,9.0
2023-02-01,PLA01,PROD011,1152.26,1846.8,0.6239,347629.85,19.04
2023-02-01,PLA02,PROD011,775.32,1203.84,0.644,213557.6,20.12
2023-02-01,PLA03,PROD011,653.21,1039.68,0.6283,181139.08,12.98
2023-02-01,PLA01,PROD012,784.6,1166.4,0.6727,250825.27,10.78
2023-02-01,PLA02,PROD012,556.76,760.32,0.7323,160795.15,12.61
2023-02-01,PLA03,PROD012,512.02,656.64,0.7798,161236.95,5.88
2023-02-01,PLA01,PROD013,607.48,1992.6,0.3049,112145.34,11.94
2023-02-01,PLA02,PROD013,419.14,1298.88,0.3227,77382.36,7.45
2023-02-01,PLA03,PROD013,335.3,1121.76,0.2989,58813.73,3.64
2023-02-01,PLA01,PROD014,882.66,2794.5,0.3159,171051.31,19.6
2023-02-01,PLA02,PROD014,618.0,1821.6,0.3393,132192.48,16.73
2023-02-01,PLA03,PROD014,471.74,1573.2,0.2999,92274.12,5.91
2023-02-01,PLA01,PROD015,1083.47,2551.5,0.4246,235910.98,9.03
2023-02-01,PLA02,PROD015,639.69,1663.2,0.3846,146262.79,11.53
2023-02-01,PLA03,PROD015,639.86,1436.4,0.4455,145358.27,15.89
2023-02-01,PLA01,PROD016,417.38,1749.6,0.2386,112067.69,11.05
2023-02-01,PLA02,PROD016,287.13,1140.48,0.2518,76747.38,5.85
2023-02-01,PLA03,PROD016,276.1,984.96,0.2803,75871.85,3.86
2023-02-01,PLA01,PROD017,587.59,1458.0,0.403,162364.75,9.96
2023-02-01,PLA02,PROD017,469.3,950.4,0.4938,143257.06,11.87
2023-02-01,PLA03,PROD017,319.43,820.8,0.3892,89464.45,8.1
2023-02-01,PLA01,PROD018,224.73,729.0,0.3083,78101.18,5.91
2023-02-01,PLA02,PROD018,158.97,475.2,0.3345,53936.22,1.6
2023-02-01,PLA03,PROD018,115.53,410.4,0.2815,43785.78,0.66
2023-02-01,PLA01,PROD019,1504.21,1895.4,0.7936,46894.12,36.15
2023-02-01,PLA02,PROD019,1080.13,1235.52,0.8742,35143.85,22.83
2023-02-01,PLA03,PROD019,937.76,1067.04,0.8788,28104.29,16.81
2023-02-01,PLA01,PROD020,1428.41,1603.8,0.8906,41315.75,17.31
2023-02-01,PLA02,PROD020,1070.82,1045.44,1.0243,31861.2,21.52
2023-02-01,PLA03,PROD020,888.69,902.88,0.9843,25050.74,19.72
2023-02-01,PLA01,PROD021,1441.97,1798.2,0.8019,60398.57,16.06
2023-02-01,PLA02,PROD021,851.53,1172.16,0.7265,33240.13,17.77
2023-02-01,PLA03,PROD021,729.93,1012.32,0.721,31917.72,16.39
2023-02-01,PLA01,PROD022,1316.01,1701.0,0.7737,50642.37,9.7
2023-02-01,PLA02,PROD022,1007.91,1108.8,0.909,39887.74,19.99
2023-02-01,PLA03,PROD022,810.76,957.6,0.8467,31717.56,9.25
2023-02-01,PLA01,PROD023,1094.58,1263.6,0.8662,38149.49,27.75
2023-02-01,PLA02,PROD023,725.47,823.68,0.8808,26431.34,12.09
2023-02-01,PLA03,PROD023,736.58,711.36,1.0355,25579.67,18.12
2023-02-01,PLA01,PROD024,791.66,923.4,0.8573,27077.07,12.08
2023-02-01,PLA02,PROD024,526.44,601.92,0.8746,17827.36,12.96
2023-02-01,PLA03,PROD024,398.14,519.84,0.7659,13750.63,4.92
2023-02-01,PLA01,PROD032,585.17,194.4,1.35,21681.36,14.33
2023-02-01,PLA02,PROD032,313.01,126.72,1.35,11088.68,2.72
2023-02-01,PLA03,PROD032,267.0,109.44,1.35,9806.45,2.94
2023-03-01,PLA01,PROD001,24441.49,3280.5,1.35,581698.51,455.86
2023-03-01,PLA02,PROD001,19073.57,2138.4,1.35,448310.43,354.12
2023-03-01,PLA03,PROD001,17332.09,1846.8,1.35,392364.15,355.3
2023-03-01,PLA01,PROD002,34441.73,3645.0,1.35,688413.18,538.17
2023-03-01,PLA02,PROD002,23232.84,2376.0,1.35,519424.75,456.49
2023-03-01,PLA03,PROD002,19309.32,2052.0,1.35,421566.38,433.1
2023-03-01,PLA01,PROD003,18798.27,2551.5,1.35,520539.5,236.52
2023-03-01,PLA02,PROD003,11870.17,1663.2,1.35,308242.43,147.2
2023-03-01,PLA03,PROD003,11939.4,1436.4,1.35,313508.69,97.16
2023-03-01,PLA01,PROD004,11684.3,2138.4,1.35,301715.19,245.96
2023-03-01,PLA02,PROD004,7228.94,1393.92,1.35,177766.37,164.36
2023-03-01,PLA03,PROD004,7243.59,1203.84,1.35,178919.09,35.45
2023-03-01,PLA01,PROD005,12194.06,1701.0,1.35,339491.8,304.82
2023-03-01,PLA02,PROD005,8500.73,1108.8,1.35,224694.6,60.68
2023-03-01,PLA03,PROD005,6911.93,957.6,1.35,190322.02,141.26
2023-03-01,PLA01,PROD006,16798.3,2235.6,1.35,314814.9,105.51
2023-03-01,PLA02,PROD006,11406.57,1457.28,1.35,225779.06,290.98
2023-03-01,PLA03,PROD006,10217.55,1258.56,1.35,196568.85,232.18
2023-03-01,PLA01,PROD007,12128.0,1215.0,1.35,290574.62,219.68
2023-03-01,PLA02,PROD007,7917.51,792.0,1.35,190531.5,207.97
2023-03-01,PLA03,PROD007,6973.33,684.0,1.35,170910.09,77.33
2023-03-01,PLA01,PROD008,9717.66,1749.6,1.35,220999.31,46.67
2023-03-01,PLA02,PROD008,6359.34,1140.48,1.35,132344.56,101.13
2023-03-01,PLA03,PROD008,5295.67,984.96,1.35,119193.38,128.85
2023-03-01,PLA01,PROD009,4421.72,3013.2,1.35,1115414.32,77.33
2023-03-01,PLA02,PROD009,2922.17,1964.16,1.35,686697.52,46.23
2023-03-01,PLA03,PROD009,2443.4,1696.32,1.35,603113.31,48.16
2023-03-01,PLA01,PROD010,4686.37,3159.0,1.35,1171218.22,58.71
2023-03-01,PLA02,PROD010,3199.96,2059.2,1.35,757085.25,64.03
2023-03-01,PLA03,PROD010,2984.35,1778.4,1.35,673894.09,23.47
2023-03-01,PLA01,PROD011,2067.06,1846.8,1.1193,622656.83,43.0
2023-03-01,PLA02,PROD011,1480.16,1203.84,1.2295,449472.66,7.45
2023-03-01,PLA03,PROD011,1154.68,1039.68,1.1106,345189.81,21.9
2023-03-01,PLA01,PROD012,1886.82,1166.4,1.35,609155.18,14.28
2023-03-01,PLA02,PROD012,957.79,760.32,1.2597,302172.56,4.6
2023-03-01,PLA03,PROD012,935.29,656.64,1.35,300742.43,7.87
2023-03-01,PLA01,PROD013,1356.61,1992.6,0.6808,237423.01,33.84
2023-03-01,PLA02,PROD013,714.47,1298.88,0.5501,131653.19,3.04
2023-03-01,PLA03,PROD013,607.2,1121.76,0.5413,107175.17,12.77
2023-03-01,PLA01,PROD014,1380.76,2794.5,0.4941,290914.62,24.29
2023-03-01,PLA02,PROD014,1151.0,1821.6,0.6319,241219.31,28.78
2023-03-01,PLA03,PROD014,803.99,1573.2,0.5111,168962.3,16.4
2023-03-01,PLA01,PROD015,1495.91,2551.5,0.5863,347720.12,16.19
2023-03-01,PLA02,PROD015,868.89,1663.2,0.5224,206719.48,10.97
2023-03-01,PLA03,PROD015,693.92,1436.4,0.4831,165115.9,7.39
2023-03-01,PLA01,PROD016,833.71,1749.6,0.4765,231382.5,20.21
2023-03-01,PLA02,PROD016,570.28,1140.48,0.5,158434.92,11.66
2023-03-01,PLA03,PROD016,432.3,984.96,0.4389,117536.21,11.63
2023-03-01,PLA01,PROD017,1080.52,1458.0,0.7411,300660.41,18.95
2023-03-01,PLA02,PROD017,785.25,950.4,0.8262,241355.78,3.79
2023-03-01,PLA03,PROD017,539.84,820.8,0.6577,155806.36,5.79
2023-03-01,PLA01,PROD018,388.96,729.0,0.5336,131401.35,4.13
2023-03-01,PLA02,PROD018,253.8,475.2,0.5341,86591.12,6.97
2023-03-01,PLA03,PROD018,229.68,410.4,0.5596,86988.09,3.99
2023-03-01,PLA01,PROD019,2912.9,1895.4,1.35,89515.52,59.0
2023-03-01,PLA02,PROD019,1574.75,1235.52,1.2746,48428.02,15.95
2023-03-01,PLA03,PROD019,1757.56,1067.04,1.35,55724.24,22.51
2023-03-01,PLA01,PROD020,2130.03,1603.8,1.3281,58623.45,12.46
2023-03-01,PLA02,PROD020,1388.84,1045.44,1.3285,39140.82,17.04
2023-03-01,PLA03,PROD020,977.51,902.88,1.0827,27956.04,8.72
2023-03-01,PLA01,PROD021,2326.52,1798.2,1.2938,99342.5,10.8
2023-03-01,PLA02,PROD021,1597.93,1172.16,1.35,69164.87,34.57
2023-03-01,PLA03,PROD021,1149.48,1012.32,1.1355,45147.15,25.27
2023-03-01,PLA01,PROD022,1921.68,1701.0,1.1297,79695.21,8.03
2023-03-01,PLA02,PROD022,1334.68,1108.8,1.2037,54042.36,34.32
2023-03-01,PLA03,PROD022,1107.43,957.6,1.1565,41602.97,28.71
2023-03-01,PLA01,PROD023,2286.7,1263.6,1.35,74234.27,33.5
2023-03-01,PLA02,PROD023,1241.06,823.68,1.35,43624.44,14.05
2023-03-01,PLA03,PROD023,1140.58,711.36,1.35,37473.95,8.48
2023-03-01,PLA01,PROD024,678.99,923.4,0.7353,22203.54,7.55
2023-03-01,PLA02,PROD024,484.29,601.92,0.8046,15465.89,3.32
2023-03-01,PLA03,PROD024,444.21,519.84,0.8545,14784.6,2.13
2023-03-01,PLA01,PROD032,1049.77,194.4,1.35,38954.85,4.76
2023-03-01,PLA02,PROD032,608.37,126.72,1.35,22131.35,5.64
2023-03-01,PLA03,PROD032,556.03,109.44,1.35,20335.86,5.86
2023-04-01,PLA01,PROD001,28667.03,3280.5,1.35,630685.48,515.6
2023-04-01,PLA02,PROD001,17595.58,2138.4,1.35,392090.09,262.04
2023-04-01,PLA03,PROD001,17132.11,1846.8,1.35,409053.37,345.94
2023-04-01,PLA01,PROD002,31053.79,3645.0,1.35,678885.9,395.09
2023-04-01,PLA02,PROD002,17864.63,2376.0,1.35,363383.22,204.88
2023-04-01,PLA03,PROD002,15055.9,2052.0,1.35,325180.78,237.4
2023-04-01,PLA01,PROD003,24116.28,2551.5,1.35,641080.53,532.62
2023-04-01,PLA02,PROD003,16738.3,1663.2,1.35,410757.8,309.08
2023-04-01,PLA03,PROD003,13683.65,1436.4,1.35,360593.49,189.4
2023-04-01,PLA01,PROD004,12959.66,2138.4,1.35,323770.16,122.36
2023-04-01,PLA02,PROD004,7740.58,1393.92,1.35,200634.92,52.97
2023-04-01,PLA03,PROD004,7979.37,1203.84,1.35,195668.16,45.32
2023-04-01,PLA01,PROD005,13311.9,1701.0,1.35,359293.75,65.08
2023-04-01,PLA02,PROD005,10331.51,1108.8,1.35,277074.53,132.75
2023-04-01,PLA03,PROD005,8808.14,957.6,1.35,256769.45,113.75
2023-04-01,PLA01,PROD006,15989.93,2235.6,1.35,325189.21,345.43
2023-04-01,PLA02,PROD006,12631.18,1457.28,1.35,243375.76,265.28
2023-04-01,PLA03,PROD006,9984.8,1258.56,1.35,200806.17,113.07
2023-04-01,PLA01,PROD007,16033.42,1215.0,1.35,391359.42,76.79
2023-04-01,PLA02,PROD007,8263.18,792.0,1.35,195943.35,226.67
2023-04-01,PLA03,PROD007,7967.47,684.0,1.35,198362.18,128.18
2023-04-01,PLA01,PROD008,12294.66,1749.6,1.35,276363.13,338.92
2023-04-01,PLA02,PROD008,7214.07,1140.48,1.35,151903.3,162.87
2023-04-01,PLA03,PROD008,6182.39,984.96,1.35,124716.93,151.09
2023-04-01,PLA01,PROD009,4964.65,3013.2,1.35,1236927.65,41.77
2023-04-01,PLA02,PROD009,3767.95,1964.16,1.35,998188.65,49.43
2023-04-01,PLA03,PROD009,2466.62,1696.32,1.35,587407.19,28.95
2023-04-01,PLA01,PROD010,3653.26,3159.0,1.1565,828506.9,57.44
2023-04-01,PLA02,PROD010,2243.92,2059.2,1.0897,567641.35,49.77
2023-04-01,PLA03,PROD010,2372.53,1778.4,1.3341,589387.88,23.31
2023-04-01,PLA01,PROD011,2572.18,1846.8,1.35,721661.91,56.56
2023-04-01,PLA02,PROD011,1923.14,1203.84,1.35,564714.47,51.31
2023-04-01,PLA03,PROD011,1315.49,1039.68,1.2653,403511.13,6.73
2023-04-01,PLA01,PROD012,1208.71,1166.4,1.0363,358236.56,23.17
2023-04-01,PLA02,PROD012,714.77,760.32,0.9401,214055.25,4.7
2023-04-01,PLA03,PROD012,534.4,656.64,0.8138,158575.24,12.2
2023-04-01,PLA01,PROD013,1184.64,1992.6,0.5945,212769.8,15.13
2023-04-01,PLA02,PROD013,697.95,1298.88,0.5373,128937.43,11.73
2023-04-01,PLA03,PROD013,626.11,1121.76,0.5581,110767.8,3.18
2023-04-01,PLA01,PROD014,1969.64,2794.5,0.7048,419205.67,50.18
2023-04-01,PLA02,PROD014,1098.82,1821.6,0.6032,230510.45,18.06
2023-04-01,PLA03,PROD014,980.41,1573.2,0.6232,205162.19,17.58
2023-04-01,PLA01,PROD015,2177.75,2551.5,0.8535,506990.99,35.31
2023-04-01,PLA02,PROD015,1135.38,1663.2,0.6826,252895.8,11.85
2023-04-01,PLA03,PROD015,1104.12,1436.4,0.7687,259878.43,21.09
2023-04-01,PLA01,PROD016,877.78,1749.6,0.5017,230066.74,7.96
2023-04-01,PLA02,PROD016,555.0,1140.48,0.4866,146968.48,11.9
2023-04-01,PLA03,PROD016,522.97,984.96,0.531,139237.93,7.05
2023-04-01,PLA01,PROD017,355.21,1458.0,0.2436,103872.23,2.06
2023-04-01,PLA02,PROD017,230.49,950.4,0.2425,64944.78,5.49
